user	clicked_news	candidate_news	clicked
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N51332 N87775 N121052 N93232 N18947	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N117508 N36542 N75838 N51757 N67004	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N25037 N30044 N109355 N28422 N4215	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N89932 N51219 N108379 N47992 N17464	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N87684 N118348 N45124 N51219 N99507	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N31879 N88083 N87913 N112284 N110048	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N71626 N94355 N52369 N99507 N51632	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N67128 N68098 N23332 N34981 N110717	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N39403 N45124 N115491 N23294 N29481	1 0 0 0 0
1	N14639 N27258 N63237 N112729 N42180 N109816 N7149 N55444 N13518 N87366 N99919 N78650 N79505 N50274 N125421 N49511 N124243 N129422 N2046 N77350 N84569 N74042 N116144 N17818 N94577 N101420 N104636 N59130 N124048 N101423 N53495 N31337 N91319 N37553 N8387 N106603 N79751 N66584 N35800 N120860 N22562 N88075 N27789 N25140 N61747 N51757 N100670 N72590 N102039 N84662 N12350 N15611 N84306 N104312 N104733 N50428 N127207 N8223 N99507 N38561 N115060 N108506 N101022 N95526 N27703 N114195 N55302 N43955 N95098 N40093 N108769 N87913	N94572 N110150 N109703 N108736 N61850	1 0 0 0 0
